nombre,afinidad,especialidad,detalle_especialidad
Wayne Owens,284,Baterista,76
Sheila May,194,Baterista,127
Beau Bennett,565,Baterista,73
Mariam Morrow,468,Baterista,132
Jin Randolph,80,Cantante,Soprano
Camden Kirby,469,Cantante,Bajo
Aiko Bean,501,Guitarrista,Acústica
Glenna Branch,117,Cantante,Bajo
Jakeem Gould,577,Guitarrista,Eléctrica
Dane Blake,428,Baterista,151
Illana Richardson,596,Cantante,Soprano
Axel Ward,219,Guitarrista,Eléctrica
Vance Bailey,161,Cantante,Bajo
Candace Dalton,134,Baterista,75
Keane Velez,583,Baterista,176
Noelle Dickerson,140,Baterista,165
Petra Thomas,209,Cantante,Tenor
Trevor Robles,124,Guitarrista,Eléctrica
Zenaida Mcconnell,149,Guitarrista,Eléctrica
Hilel Duncan,478,Baterista,128
Rina Hopper,138,Baterista,64
Brent Kelley,325,Guitarrista,Eléctrica
Graham Franks,66,Cantante,Soprano
Eden Wilson,492,Baterista,147
Myra Roberts,441,Guitarrista,Eléctrica
Elmo Mcguire,54,Baterista,114
Tyler Powell,116,Cantante,Soprano
Dorian Alston,458,Guitarrista,Eléctrica
Rashad Riley,588,Cantante,Soprano
Clare Gibbs,323,Guitarrista,Acústica
Lyle Reyes,279,Guitarrista,Eléctrica
Melissa Morin,455,Baterista,85
Jack Joyner,530,Cantante,Tenor
Tad Small,363,Baterista,96
Odessa Mccoy,559,Cantante,Bajo
Victoria Foley,284,Cantante,Bajo
Owen Dillard,424,Guitarrista,Acústica
Harding Horton,205,Baterista,133
Cedric Foster,569,Baterista,72
Blythe Le,385,Cantante,Soprano
Stacy Murray,16,Cantante,Bajo
Matthew Phillips,111,Guitarrista,Acústica
August Weber,174,Baterista,145
Lillian Abbott,137,Guitarrista,Acústica
Sawyer Garrison,299,Cantante,Soprano
Stewart Kane,171,Guitarrista,Eléctrica
Kibo Sears,54,Cantante,Soprano
Oprah Dennis,321,Guitarrista,Acústica
Mallory Merritt,168,Guitarrista,Acústica
Erica Avery,567,Baterista,144
Sierra Craft,184,Cantante,Bajo
Celeste Valenzuela,132,Baterista,113
Trevor Russell,443,Cantante,Soprano
Phyllis Banks,549,Guitarrista,Acústica
Martin Hendrix,91,Guitarrista,Acústica
Caldwell Peters,370,Guitarrista,Eléctrica
Dorothy Ford,124,Guitarrista,Acústica
Laith White,76,Guitarrista,Acústica
Chiquita Summers,500,Cantante,Soprano
Marvin Horn,197,Cantante,Bajo
Hedda Heath,259,Guitarrista,Eléctrica
Richard Rodriquez,411,Baterista,109
Kylan Reeves,222,Cantante,Soprano
Garrison Lopez,420,Guitarrista,Eléctrica
Devin Donovan,577,Guitarrista,Eléctrica
Marcia Orr,261,Guitarrista,Eléctrica
Maite Faulkner,327,Cantante,Bajo
Dante Nicholson,403,Cantante,Tenor
Finn Bell,229,Cantante,Bajo
Warren Kent,39,Baterista,172
Jack Sanchez,519,Guitarrista,Acústica
Scott Odom,536,Baterista,147
Kevin Duke,385,Baterista,63
Baker Walter,431,Cantante,Tenor
Damian Gaines,409,Guitarrista,Acústica
Noah Booth,332,Guitarrista,Acústica
James Mccoy,25,Guitarrista,Acústica
Charles Schneider,102,Cantante,Tenor
Logan Shaw,368,Guitarrista,Acústica
Ferdinand Soto,266,Baterista,85
Nehru Schneider,325,Guitarrista,Acústica
Maxwell Terry,585,Baterista,121
Fuller Mcdaniel,179,Guitarrista,Eléctrica
Ulric Conley,304,Baterista,71
Hasad Day,456,Baterista,65
Rhona Waters,581,Cantante,Bajo
Yvette Valdez,316,Cantante,Soprano
Nash Pace,508,Cantante,Bajo
Jada Duke,19,Cantante,Soprano
Brennan Smith,45,Guitarrista,Acústica
Quynn Pitts,393,Baterista,79
Elijah Parks,192,Cantante,Tenor
Natalie Grant,54,Baterista,174
Maxine Houston,593,Cantante,Bajo
Acton Cardenas,542,Baterista,115
